order_id,customer_id,product,amount,order_date,status,order_year_month
1,572.0,Mouse,51.0,2025-09-04,pending,2025-09
2,462.0,Charger,56.0,2025-09-27,cancelled,2025-09
3,548.0,Laptop,1231.0,2025-12-20,completed,2025-12
4,718.0,Mouse,37.0,2025-09-24,completed,2025-09
5,622.0,Mouse,33.0,2025-12-06,refunded,2025-12
6,32.0,Webcam,60.0,2025-03-28,pending,2025-03
7,817.0,SSD,128.0,2025-03-31,pending,2025-03
8,989.0,USB Cable,60.0,2025-12-26,completed,2025-12
9,127.0,Laptop,1190.0,2025-05-08,refunded,2025-05
10,313.0,Monitor,437.0,2025-06-18,cancelled,2025-06
11,872.0,SSD,119.0,2025-08-27,pending,2025-08
12,259.0,Monitor,397.0,2025-06-21,pending,2025-06
13,56.0,SSD,139.0,2025-04-22,completed,2025-04
14,101.0,Monitor,436.0,2025-05-13,refunded,2025-05
15,688.0,Monitor,396.0,2025-09-22,cancelled,2025-09
16,326.0,Webcam,78.0,2025-06-05,cancelled,2025-06
17,599.0,Keyboard,101.0,2025-08-08,cancelled,2025-08
18,173.0,Laptop,1210.0,2025-11-13,pending,2025-11
19,657.0,Charger,42.0,2025-06-19,cancelled,2025-06
20,899.0,Webcam,79.0,2025-12-14,refunded,2025-12
21,565.0,Mouse,26.0,2026-03-20,completed,2026-03
22,144.0,SSD,122.0,2025-09-02,cancelled,2025-09
23,745.0,Mouse,72.0,2026-02-08,completed,2026-02
24,833.0,RAM,107.0,2025-05-12,refunded,2025-05
25,38.0,SSD,126.0,2025-07-18,refunded,2025-07
26,402.0,Monitor,447.0,2026-01-06,cancelled,2026-01
27,93.0,Charger,48.0,2025-04-07,completed,2025-04
28,826.0,RAM,113.0,2026-01-07,pending,2026-01
29,164.0,Keyboard,101.0,2025-08-22,pending,2025-08
30,368.0,Laptop,1204.0,2026-01-15,refunded,2026-01
31,240.0,Laptop,1232.0,2025-12-23,pending,2025-12
32,398.0,Webcam,108.0,2025-06-15,refunded,2025-06
33,665.0,USB Cable,6.0,2025-12-17,cancelled,2025-12
34,558.0,RAM,81.0,2025-07-27,refunded,2025-07
35,670.0,Mouse,48.0,2025-06-07,cancelled,2025-06
36,529.0,Charger,47.0,2025-04-12,cancelled,2025-04
37,619.0,Laptop,1222.0,2026-02-22,pending,2026-02
38,527.0,Headphones,153.0,2026-03-20,pending,2026-03
39,735.0,Mouse,57.0,2026-01-11,pending,2026-01
40,117.0,Webcam,93.0,2025-12-03,refunded,2025-12
41,663.0,Charger,26.0,2025-06-13,pending,2025-06
42,165.0,Keyboard,105.0,2026-02-06,completed,2026-02
43,171.0,Headphones,199.0,2025-09-30,pending,2025-09
44,993.0,RAM,110.0,2025-05-30,completed,2025-05
45,842.0,Headphones,200.0,2025-11-09,completed,2025-11
46,483.0,Webcam,60.0,2025-04-16,pending,2025-04
47,814.0,RAM,122.0,2025-09-19,pending,2025-09
48,172.0,USB Cable,59.0,2026-03-08,refunded,2026-03
49,388.0,Charger,56.0,2025-04-12,completed,2025-04
50,932.0,SSD,153.0,2026-03-22,refunded,2026-03
51,182.0,Webcam,107.0,2026-03-02,completed,2026-03
52,771.0,Mouse,20.0,2025-05-08,refunded,2025-05
53,553.0,Laptop,1247.0,2025-05-26,refunded,2025-05
54,45.0,SSD,137.0,2025-10-10,pending,2025-10
55,788.0,Charger,47.0,2026-01-09,completed,2026-01
56,785.0,Monitor,448.0,2025-06-06,completed,2025-06
57,419.0,Headphones,152.0,2025-09-25,completed,2025-09
58,592.0,SSD,117.0,2025-08-27,completed,2025-08
59,824.0,USB Cable,26.0,2025-09-10,cancelled,2025-09
60,600.0,Headphones,156.0,2025-05-23,refunded,2025-05
61,697.0,Charger,73.0,2025-06-04,pending,2025-06
62,495.0,Keyboard,88.0,2025-08-26,refunded,2025-08
63,353.0,Charger,72.0,2025-10-31,pending,2025-10
64,766.0,Monitor,418.0,2025-07-12,pending,2025-07
65,805.0,USB Cable,51.0,2025-10-20,completed,2025-10
66,6.0,Mouse,67.0,2026-03-13,pending,2026-03
67,91.0,Mouse,31.0,2025-06-05,pending,2025-06
68,742.0,Charger,84.0,2026-02-02,refunded,2026-02
69,729.0,RAM,73.0,2025-09-16,pending,2025-09
70,207.0,SSD,128.0,2026-03-07,pending,2026-03
71,529.0,Monitor,429.0,2025-08-02,pending,2025-08
72,671.0,Laptop,1200.0,2025-08-09,completed,2025-08
73,362.0,Charger,50.0,2025-09-12,pending,2025-09
74,71.0,Mouse,50.0,2025-08-25,cancelled,2025-08
75,597.0,USB Cable,22.0,2025-11-02,cancelled,2025-11
76,466.0,Charger,61.0,2025-08-29,completed,2025-08
77,110.0,SSD,114.0,2025-05-20,cancelled,2025-05
78,526.0,Headphones,196.0,2026-03-08,cancelled,2026-03
79,577.0,Webcam,99.0,2025-09-16,pending,2025-09
80,470.0,Webcam,107.0,2025-12-27,completed,2025-12
81,392.0,Monitor,433.0,2025-08-27,pending,2025-08
82,362.0,SSD,144.0,2025-04-23,completed,2025-04
83,295.0,Mouse,40.0,2026-02-18,cancelled,2026-02
84,488.0,USB Cable,22.0,2025-07-11,pending,2025-07
85,970.0,Monitor,421.0,2025-10-06,pending,2025-10
86,272.0,Monitor,404.0,2025-10-12,pending,2025-10
87,365.0,Keyboard,114.0,2025-05-27,completed,2025-05
88,979.0,Webcam,89.0,2025-08-10,completed,2025-08
89,44.0,Webcam,73.0,2025-07-13,cancelled,2025-07
90,919.0,RAM,125.0,2025-07-05,cancelled,2025-07
91,938.0,SSD,127.0,2025-10-15,refunded,2025-10
92,56.0,SSD,161.0,2025-09-15,refunded,2025-09
93,515.0,USB Cable,25.0,2025-07-23,pending,2025-07
94,531.0,Webcam,80.0,2025-12-10,completed,2025-12
95,595.0,Mouse,35.0,2025-06-03,cancelled,2025-06
96,562.0,Headphones,155.0,2026-02-22,cancelled,2026-02
97,375.0,Keyboard,96.0,2025-03-25,refunded,2025-03
98,382.0,USB Cable,54.0,2026-02-02,refunded,2026-02
99,135.0,RAM,113.0,2025-12-16,pending,2025-12
100,824.0,Monitor,425.0,2025-08-07,refunded,2025-08
101,820.0,Keyboard,95.0,2025-08-19,completed,2025-08
102,915.0,SSD,144.0,2025-08-23,cancelled,2025-08
103,576.0,RAM,73.0,2025-08-15,refunded,2025-08
104,221.0,Headphones,170.0,2025-12-20,completed,2025-12
105,370.0,USB Cable,35.0,2025-08-11,cancelled,2025-08
106,360.0,RAM,82.0,2025-07-14,pending,2025-07
