order_id,customer_id,product,amount,order_date,status
1,572,Mouse,51,2025-09-04,pending
2,462,Charger,,2025-09-27,canceled
3,548,Laptop,1231,2025-12-20,completed
4,718,Mouse,37,2025-09-24,completed
5,622,Mouse,33,2025-12-06,refunded
6,32,Webcam,60,2025-03-28,pending
7,817,SSD,128,2025-03-31,pending
8,989,USB Cable,60,2025-12-26,completed
9,127,Laptop,1190,2025-05-08,refunded
10,313,Monitor,437,2025-06-18,canceled
11,872,SSD,119,2025-08-27,pending
12,259,Monitor,397,2025-06-21,pending
13,56,SSD,139,2025-04-22,completed
14,101,Monitor,436,2025-05-13,refunded
15,688,Monitor,396,2025-09-22,canceled
16,326,Webcam,78,2025-06-05,canceled
17,599,Keyboard,101,2025-08-08,canceled
18,173,Laptop,1210,2025-11-13,pending
19,657,Charger,42,2025-06-19,canceled
20,899,Webcam,79,2025-12-14,refunded
21,565,Mouse,26,2026-03-20,completed
22,144,SSD,122,2025-09-02,canceled
23,745,Mouse,72,2026-02-08,completed
24,833,RAM,107,2025-05-12,refunded
25,38,SSD,126,2025-07-18,refunded
26,402,Monitor,447,2026-01-06,canceled
27,93,Charger,48,2025-04-07,completed
28,826,RAM,113,2026-01-07,pending
29,164,Keyboard,101,2025-08-22,pending
30,368,Laptop,1204,2026-01-15,refunded
31,240,Laptop,1232,2025-12-23,pending
32,398,Webcam,108,2025-06-15,refunded
33,665,USB Cable,6,2025-12-17,canceled
34,558,RAM,81,2025-07-27,refunded
35,670,Mouse,48,2025-06-07,canceled
36,529,Charger,47,2025-04-12,canceled
37,619,Laptop,1222,2026-02-22,pending
38,527,Headphones,153,2026-03-20,pending
39,735,Mouse,57,2026-01-11,pending
40,117,Webcam,93,2025-12-03,refunded
41,663,Charger,26,2025-06-13,pending
42,165,Keyboard,105,2026-02-06,completed
43,171,Headphones,199,2025-09-30,pending
44,993,RAM,110,2025-05-30,completed
45,842,Headphones,200,2025-11-09,completed
46,483,Webcam,60,2025-04-16,pending
47,814,RAM,122,2025-09-19,pending
48,172,USB Cable,59,2026-03-08,refunded
49,388,Charger,,2025-04-12,completed
50,932,SSD,153,2026-03-22,refunded
51,182,Webcam,107,2026-03-02,completed
52,771,Mouse,20,2025-05-08,refunded
53,553,Laptop,1247,2025-05-26,refunded
54,45,SSD,137,2025-10-10,pending
55,788,Charger,47,2026-01-09,completed
56,785,Monitor,448,2025-06-06,completed
57,419,Headphones,152,2025-09-25,completed
58,592,SSD,117,2025-08-27,completed
59,824,USB Cable,26,2025-09-10,canceled
60,600,Headphones,156,2025-05-23,refunded
61,697,Charger,73,2025-06-04,pending
62,495,Keyboard,88,2025-08-26,refunded
63,353,Charger,72,2025-10-31,pending
64,766,Monitor,418,2025-07-12,pending
65,805,USB Cable,51,2025-10-20,completed
66,6,Mouse,67,2026-03-13,pending
67,91,Mouse,31,2025-06-05,pending
68,742,Charger,84,2026-02-02,refunded
69,729,RAM,73,2025-09-16,pending
70,207,SSD,128,2026-03-07,pending
71,529,Monitor,429,2025-08-02,pending
72,671,Laptop,1200,2025-08-09,completed
73,362,Charger,50,2025-09-12,pending
74,71,Mouse,50,2025-08-25,canceled
75,597,USB Cable,22,2025-11-02,canceled
76,466,Charger,61,2025-08-29,completed
77,110,SSD,114,2025-05-20,canceled
78,526,Headphones,196,2026-03-08,canceled
79,577,Webcam,99,2025-09-16,pending
80,470,Webcam,107,2025-12-27,completed
81,392,Monitor,433,2025-08-27,pending
82,362,SSD,144,2025-04-23,completed
83,295,Mouse,40,2026-02-18,canceled
84,488,USB Cable,22,2025-07-11,pending
85,970,Monitor,421,2025-10-06,pending
86,272,Monitor,404,2025-10-12,pending
87,365,Keyboard,114,2025-05-27,completed
88,979,Webcam,89,2025-08-10,completed
89,44,Webcam,73,2025-07-13,canceled
90,919,RAM,125,2025-07-05,canceled
91,938,SSD,127,2025-10-15,refunded
92,56,SSD,161,2025-09-15,refunded
93,515,USB Cable,25,2025-07-23,pending
94,531,Webcam,,2025-12-10,completed
95,595,Mouse,35,2025-06-03,canceled
96,562,Headphones,155,2026-02-22,canceled
97,375,Keyboard,96,2025-03-25,refunded
98,382,USB Cable,54,2026-02-02,refunded
99,135,RAM,113,2025-12-16,pending
100,824,Monitor,425,2025-08-07,refunded
101,820,Keyboard,95,2025-08-19,completed
102,915,SSD,144,2025-08-23,canceled
103,576,RAM,73,2025-08-15,refunded
104,221,Headphones,170,2025-12-20,completed
105,370,USB Cable,35,2025-08-11,canceled
106,360,RAM,82,2025-07-14,pending
107,333,SSD,141,2026-03-20,refunded
108,294,Webcam,90,2025-04-19,pending
109,951,USB Cable,26,2026-02-10,refunded
110,166,USB Cable,14,2026-03-22,canceled
111,274,RAM,111,2025-05-08,refunded
112,884,USB Cable,47,2026-02-28,refunded
113,24,Keyboard,111,2025-05-22,pending
114,718,Mouse,28,2025-12-28,pending
115,960,Webcam,85,2026-03-09,completed
116,784,Mouse,21,2025-12-31,canceled
117,954,Charger,44,2025-12-24,pending
